Iteration;car;ebike;escoot
0;10454;0;0
1;8886;980;805
2;7728;1768;1434
3;6821;2296;1944
4;6212;2535;2370
5;5610;2877;2666
6;5271;3069;2837
7;5140;3169;2870
8;4896;3257;3041
9;4643;3438;3135
10;4478;3590;3172
11;4234;3674;3361
12;4243;3518;3501
13;4095;3657;3527
14;3955;3946;3426
15;4095;3794;3409
16;4068;3867;3366
17;4025;4031;3250
18;4007;4143;3172
19;4147;4237;2918
20;4278;4188;2805
21;4400;4110;2746
22;4513;4096;2633
23;4495;4002;2762
24;4687;4144;2390
25;4600;4099;2525
26;4774;4033;2413
27;4757;4287;2180
28;4887;4190;2114
29;4992;4225;1967
30;4739;4404;2056
31;5105;4146;1900
32;5358;4040;1734
33;5497;4067;1541
34;5227;4147;1780
35;5384;4095;1646
36;5515;4131;1445
37;5602;4081;1413
38;5628;3893;1565
39;5776;3808;1485
40;5602;3905;1598
41;5898;3755;1386
42;5959;3718;1361
43;6246;3569;1206
44;6194;3444;1387
45;6421;3370;1206
46;6386;3492;1122
47;6490;3264;1251
48;6578;3212;1191
49;6673;3213;1089
50;6760;3059;1119
51;6795;3020;1149
52;6952;3065;904
53;6795;3172;1023
54;7013;2863;1037
55;7144;2678;1121
56;7283;2637;959
57;7231;2673;1020
58;7388;2615;858
59;7362;2482;1072
60;7484;2357;1028
61;7640;2377;865
62;7597;2292;952
63;7788;2125;969
64;7553;2173;1130
65;7806;2212;858
66;7518;2236;1109
67;7989;1988;859
68;7867;1925;1011
69;8067;1888;886
70;8059;1922;803
71;8076;1916;834
72;8120;1853;812
73;8233;1764;808
74;8076;1797;930
75;8006;1809;1043
76;8172;1800;834
77;8337;1667;789
78;8242;1622;932
79;8442;1491;840
80;8276;1555;930
81;8311;1427;1085
82;8416;1511;822
83;8294;1643;905
84;8268;1603;891
85;8416;1341;1077
86;8311;1476;973
87;8442;1414;981
88;8607;1262;853
89;8485;1473;880
90;8494;1334;902
91;8451;1267;1117
92;8503;1185;1043
93;8668;1412;727
94;8538;1090;1102
95;8651;1188;976
96;8677;1244;805
97;8790;1311;692
98;8581;1256;902
99;8555;1254;1016
100;8651;1181;895
101;8616;1368;821
102;8538;1223;982
103;8555;1320;915
104;8703;1125;895
105;8729;1107;936
106;8756;1124;831
107;8529;1248;1039
108;8825;1017;860
109;8738;1151;880
110;8738;1017;959
111;8747;966;1057
112;8712;1251;763
113;8895;1088;758
114;8642;1209;891
115;8851;1165;729
116;8555;1205;999
117;8747;1236;800
118;8642;1046;1050
119;8677;1038;1066
120;8817;943;962
121;8703;1026;1041
122;8677;1227;862
123;8808;956;987
124;8973;947;792
125;8782;1124;841
126;8851;995;889
127;8782;1035;922
128;8834;1147;772
129;8738;1167;843
130;8843;1054;852
131;8895;935;894
132;8738;994;1039
133;8764;1086;879
134;8930;1031;789
135;9078;816;783
136;8921;992;832
137;8921;920;872
138;8764;1119;893
139;8947;957;795
140;8799;1031;940
141;8799;877;1050
142;8817;1070;880
143;8965;797;945
144;8877;882;960
145;8790;1020;942
146;8982;879;841
147;8886;840;993
148;8895;917;920
149;9034;768;885
150;8930;895;900
151;8921;768;1024
152;8982;1000;763
153;8756;944;1036
154;8773;1129;862
155;8764;1011;963
156;8816;1069;880
157;8877;857;991
158;8860;986;901
159;8834;926;965
160;9121;837;731
161;8790;964;974
162;8869;899;972
163;8834;940;943
164;8747;935;1070
165;8991;846;859
166;8773;1094;894
167;8973;765;971
168;8965;973;792
169;8912;812;989
170;8904;926;902
171;8921;929;859
172;8729;1000;1031
173;8991;883;832
174;9078;907;727
175;8912;774;1040
176;8877;896;955
177;8877;921;920
178;8756;1002;1006
179;8895;840;988
180;9017;838;866
181;8973;792;922
182;9034;819;856
183;9017;951;723
184;8834;1035;856
185;8851;950;940
186;8930;922;857
187;9191;717;770
188;8869;869;964
189;8834;980;934
190;8956;895;836
191;9060;749;906
192;8773;780;1155
193;8869;916;956
194;8695;1032;995
195;8930;813;997
196;8747;973;1006
197;8799;908;1058
198;8843;970;906
199;8886;812;1055
200;9174;771;697
201;9026;939;772
202;8904;878;906
203;8938;870;948
204;8965;811;896
205;8834;1049;897
206;8999;860;807
207;8912;971;880
208;8886;884;917
209;8965;926;859
210;9060;723;877
211;8956;983;809
212;9008;889;766
213;8851;887;1029
214;8834;891;966
215;8790;814;1176
216;9008;822;837
217;8895;920;945
218;8904;914;878
219;8895;919;951
220;8851;909;925
221;9008;965;771
222;8973;865;836
223;8816;960;998
224;8860;856;975
225;8947;1043;765
226;8895;969;837
227;8738;1070;986
228;8773;1039;896
229;8982;813;940
230;8991;974;715
231;8912;900;933
232;9060;729;876
233;8851;874;1020
234;8886;865;955
235;8834;890;1023
236;8825;881;1014
237;8747;979;1021
238;9069;893;718
239;9026;915;762
240;9052;741;885
241;8668;1078;1031
242;8921;898;886
243;8851;1002;894
244;8851;950;917
245;8947;1010;772
246;8695;1050;995
247;8712;1081;976
248;9043;939;709
249;8808;1202;719
250;8851;1015;878
251;8695;1039;1022
252;8904;845;966
253;8747;1071;935
254;8938;749;1017
255;8816;1018;915
256;8930;884;895
257;8738;1074;949
258;8869;951;905
259;8886;861;964
260;8851;890;985
261;8799;1013;928
262;8991;937;786
263;8982;1008;688
264;8982;861;865
265;8816;870;1054
266;8930;820;967
267;9052;905;720
268;9017;844;848
269;8790;948;991
270;8799;1000;946
271;8947;869;882
272;8912;864;957
273;8886;1029;794
274;8999;961;767
275;8921;844;949
276;8877;912;947
277;8912;842;958
278;9104;857;737
279;8938;875;899
280;8930;804;987
281;8956;890;852
282;8912;883;939
283;8843;890;985
284;8773;930;1047
285;8912;900;892
286;8756;1022;988
287;8834;959;931
288;8904;1004;830
289;8703;809;1233
290;8886;1022;837
291;9043;779;868
292;8947;914;859
293;8869;909;938
294;8756;984;1026
295;8808;1009;908
296;8816;983;947
297;8930;859;912
298;8877;916;957
299;9017;928;737
300;8938;901;906
301;9034;827;818
302;8982;988;778
303;9034;776;871
304;8999;763;957
305;8843;927;944
306;8877;958;907
307;8834;819;1067
308;8947;864;925
309;8799;1017;906
310;8834;928;988
311;9017;823;841
312;8886;774;1079
313;9017;910;753
314;8860;982;887
315;8886;925;896
316;8912;917;898
317;9087;771;818
318;9087;929;678
319;8764;1018;970
320;8965;879;857
321;8965;926;821
322;8877;884;958
323;8721;958;1094
324;8921;845;947
325;8756;937;1074
326;8756;956;1028
327;8956;913;848
328;8886;843;987
329;8930;932;880
330;8904;882;927
331;8660;1059;1057
332;8973;850;878
333;8886;715;1132
334;8590;1119;1058
335;8808;992;940
336;8921;927;875
337;8834;956;949
338;8799;996;948
339;8912;857;948
340;8738;999;1018
341;8747;1051;946
342;8712;1142;898
343;8895;967;866
344;8799;990;947
345;8982;845;869
346;8999;832;859
347;8965;828;923
348;8851;979;887
349;8886;913;925
350;9043;901;747
351;8869;931;939
352;8790;982;946
353;8938;951;823
354;9017;799;867
355;8912;923;892
356;9130;707;837
